GVKEY,YEAR,CUSIP,CITY,CONAME,INDDESC,STATE,EXECID,EXEC_FNAME,EXEC_FULLNAME,EXEC_LNAME,EXEC_MNAME,GENDER,NAMEPREFIX,PAGE,TITLE,Birthdate,Astrological_Sign,rownum,month,day,CEO,CEO_top,CEO_low,chief_including CEO,Chief_excluding CEO,chief_low,chief_low_CEO_low,SVP,VP,VP_SVP
126136,1968,,,ENTERGY CORP,,,36971,Roderi,Roderick K. West,West,K.,MALE,,47,Executive Vice President and Member of Office of The Chief Executive,6/27/1968,Cancer,4462,6,27,,,,,1,1,0,,1,1
5125,1934,37246010,Atlanta,GENUINE PARTS CO,Distributors,GA,2860,George,George W. Kalafut,Kalafut,W.,MALE,Mr.,,executive vp,2/21/1934,Pisces,1114,2,21,,,,,,0,0,,1,1
7620,1934,62671710,El Dorado,MURPHY OIL CORP,Oil & Gas Exploration & Production,AR,594,Herber,"Herbert A. Fox, Jr.","Fox, Jr.",A.,MALE,Mr.,,executive vp-worldwide downstream operations,6/19/1934,gemini,1290,6,19,,,,,,0,0,,1,1
6669,1936,52605710,Miami,LENNAR CORP,Homebuilding,FL,10424,Allan,Allan J. Pekor,Pekor,J.,MALE,Mr.,,vice president,12/28/1936,Capricorn,95,12,28,,,,,,0,0,,1,1
155394,1937,50188920,Chicago,LKQ CORP,Distributors,IL,29573,Stuart,Stuart P. Willen,Willen,P.,MALE,Mr.,,senior vp-midwest region,2/27/1937,Pisces,4020,2,27,,,,,,0,0,1,,1
4885,1937,35461310,San Mateo,FRANKLIN RESOURCES INC,Asset Management & Custody Banks,CA,25803,Murray,Murray L. Simpson,Simpson,L.,MALE,Mr.,,executive vp,6/12/1937,Gemini,4970,6,12,,,,,,0,0,,1,1
11506,1937,96945710,Tulsa,WILLIAMS COS INC,Oil & Gas Storage & Transportation,OK,48666,John,John D. Seldenrust,Seldenrust,D.,MALE,Mr.,51,Senior Vice President of Engineering & Construction,8/16/1937,Leo,1819,8,16,,,,,,0,0,1,,1
9846,1937,28102010,Rosemead,EDISON INTERNATIONAL,Electric Utilities,CA,1517,Bryant,Bryant C. Danner,Danner,C.,MALE,Mr.,,vp & general counsel,11/18/1937,Scorpio,429,11,18,,,,,,0,0,,1,1
9445,1938,80589M10,Cayce,SCANA CORP,Multi-Utilities,SC,30839,Franci,"Francis P. Mood, Jr.","Mood, Jr.",P.,MALE,Mr.,80,senior vp & general counsel,2/4/1938,Aquarius,950,2,4,,,,,,0,0,1,,1
9203,1938,77390310,Milwaukee,ROCKWELL AUTOMATION,Electrical Components & Equipment,WI,14050,Willia,"William J. Calise, Jr.","Calise, Jr.",J.,MALE,Mr.,,"senior vp, general counsel & secretary",5/22/1938,Gemini,3283,5,22,,,,,,0,0,1,,1
6435,1938,49436810,Dallas,KIMBERLY-CLARK CORP,Household Products,TX,2726,O.,O. George Everbach,Everbach,Georg,MALE,Mr.,,senior vp-law and government affairs,8/27/1938,Virgo,5027,8,27,,,,,,0,0,1,,1
2086,1938,7181310,Deerfield,BAXTER INTERNATIONAL INC,Health Care Equipment,IL,26022,David,David F. Drohan,Drohan,F.,MALE,Mr.,,vp; president-medication delivery,9/25/1938,,703,9,25,,,,,,0,0,,1,1
4058,1938,26000310,Downers Grove,DOVER CORP,Industrial Machinery,IL,2290,Jerry,Jerry W. Yochum,Yochum,W.,MALE,Mr.,78,"vp; president-Dover Diversified, Inc.",10/13/1938,Libra,1733,10,13,,,,,,0,0,,1,1
133768,1938,59156R10,New York,METLIFE INC,Life & Health Insurance,NY,24540,Gary,Gary A. Beller,Beller,A.,MALE,Mr.,,senior executive vp,10/16/1938,Libra,1041,10,16,,,,,,0,0,1,,1
7985,1939,66680710,Falls Church,NORTHROP GRUMMAN CORP,Aerospace & Defense,VA,19031,Herber,Herbert W. Anderson,Anderson,W.,MALE,Mr.,,corporate vp; president-information technology,1/1/1939,Year range,1293,1,1,,,,,,0,0,,1,1
1632,1939,3265410,Norwood,ANALOG DEVICES,Semiconductors,MA,24325,Frankl,Franklin Weigold,Weigold,,MALE,Mr.,,vp & general manager-micromachined products,1/14/1939,Capricorn,991,1,14,,,,,,0,0,,1,1
11264,1939,93142710,Deerfield,WALGREENS BOOTS ALLIANCE INC,Drug Retail,IL,27302,Julian,Julian A. Oettinger,Oettinger,A.,MALE,Mr.,,"senior vp, general counsel & secretary",1/21/1939,Aquarius,2136,1,21,,,,,,0,0,1,,1
12726,1939,91529Y10,Chattanooga,UNUM GROUP,Life & Health Insurance,TN,17157,F.,F. Dean Copeland,Copeland,Dean,MALE,Mr.,78,senior executive vp & special advisor,4/11/1939,Aries,927,4,11,,,,,,0,0,1,,1
6565,1939,51280710,Fremont,LAM RESEARCH CORP,Semiconductor Equipment,CA,27243,Steven,Steven A. Lindsay,Lindsay,A.,MALE,Mr.,,vp-global sales & corporate marketing,6/6/1939,Gemini,3938,6,6,,,,,,0,0,,1,1
4973,1939,36357610,Itasca,ARTHUR J GALLAGHER & CO,Insurance Brokers,IL,16944,James,James J. Braniff III,Braniff III,J.,MALE,Mr.,77,vice president,7/23/1939,Leo,1487,7,23,,,,,,0,0,,1,1
5492,1939,41387510,Melbourne,HARRIS CORP,Communications Equipment,FL,20223,Richar,Richard L. Ballantyne,Ballantyne,L.,MALE,Mr.,,"vp, general counsel & secretary",12/10/1939,Sagittarius,2702,12,10,,,,,,0,0,,1,1
7085,1940,57459910,Taylor,MASCO CORP,Building Products,MI,17076,Robert,Robert B. Rosowski,Rosowski,B.,MALE,Mr.,,vp & treasurer,7/23/1940,Leo,2776,7,23,,,,,,0,0,,1,1
7257,1940,58933Y10,Kenilworth,MERCK & CO,Pharmaceuticals,NJ,1105,Edward,Edward M. Scolnick,Scolnick,M.,MALE,Mr.,78,executive vp-science and technology; president-Merck Research Labora,8/9/1940,Leo,844,8,9,,,,,,0,0,,1,1
6774,1940,53983010,Bethesda,LOCKHEED MARTIN CORP,Aerospace & Defense,MD,2875,Frank,"Frank H. Menaker, Jr.","Menaker, Jr.",H.,MALE,Mr.,,senior vp & general counsel,8/23/1940,Virgo,971,8,23,,,,,,0,0,1,,1
9846,1940,28102010,Rosemead,EDISON INTERNATIONAL,Electric Utilities,CA,3205,Harold,Harold B. Ray,Ray,B.,MALE,Mr.,,executive vp-Southern California Edison,8/30/1940,virgo,1253,8,30,,,,,,0,0,,1,1
4321,1940,29101110,St. Louis,EMERSON ELECTRIC CO,Electrical Components & Equipment,MO,10132,W.,W. Wayne Withers,Withers,Wayne,MALE,Mr.,76,"executive vp, special legal advisor, former  general counsel & secre",11/4/1940,Scorpio,3174,11,4,,,,,,0,0,,1,1
